UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.001,PERLIS,P.001,PADANG BESAR,60192,86.01,8.14,0.88,0.01,0.33,0.57,4.06,96.35,0.01,0.76,2.88,5.92,21.35,24.86,16.09,12.74,10.78,6.04,1.87,0.35,50.18,49.82,SEMI URBAN
P.002,PERLIS,P.002,KANGAR,74859,81.58,14.73,1.57,0.00,0.13,0.08,1.90,98.63,0.01,1.36,0.00,6.25,21.51,23.09,15.83,13.45,11.60,6.04,1.88,0.35,49.54,50.46,SEMI URBAN
P.003,PERLIS,P.003,ARAU,60876,87.23,7.81,1.59,0.01,0.12,0.09,3.15,99.24,0.01,0.58,0.17,5.98,20.31,21.90,16.91,15.12,11.39,5.95,2.11,0.33,48.84,51.16,SEMI URBAN
P.004,KEDAH,P.004,LANGKAWI,66777,89.65,6.75,2.38,0.00,0.30,0.17,0.75,98.31,0.01,1.00,0.69,8.00,25.93,22.76,17.59,13.22,8.04,3.28,1.00,0.18,50.84,49.16,SEMI URBAN
P.005,KEDAH,P.005,JERLUN,67601,90.75,6.78,0.11,0.00,0.05,0.04,2.27,99.95,0.00,0.05,0.00,5.66,19.39,21.58,17.45,15.46,11.64,6.38,2.13,0.31,49.27,50.73,RURAL
P.006,KEDAH,P.006,KUBANG PASU,108217,85.99,8.72,3.38,0.01,0.18,0.17,1.54,97.61,0.02,0.58,1.79,7.42,24.46,23.05,15.79,12.68,10.05,4.87,1.47,0.21,49.72,50.28,SEMI URBAN
P.007,KEDAH,P.007,PADANG TERAP,59806,91.66,1.30,0.14,0.00,0.06,0.04,6.81,99.65,0.00,0.34,0.00,6.29,22.21,23.34,17.33,14.15,9.88,4.83,1.74,0.24,49,51,RURAL
P.008,KEDAH,P.008,POKOK SENA,114838,81.32,15.24,2.48,0.01,0.08,0.09,0.79,97.99,0.01,0.73,1.27,5.71,21.32,23.05,16.89,13.70,11.05,5.94,2.03,0.32,49.52,50.48,SEMI URBAN
P.009,KEDAH,P.009,ALOR SETAR,105994,63.18,31.76,4.26,0.01,0.08,0.06,0.65,99.32,0.02,0.66,0.00,5.12,19.28,21.83,16.63,14.08,13.06,7.19,2.23,0.57,48.97,51.03,URBAN
P.010,KEDAH,P.010,KUALA KEDAH,132500,75.96,22.25,1.18,0.00,0.04,0.05,0.52,99.93,0.01,0.06,0.00,6.06,21.47,22.39,17.45,13.77,11.37,5.45,1.77,0.27,49.1,50.9,SEMI URBAN
