Created on,19/11/2022
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Election Commission of Malaysia (SPR), Tindak Malaysia (2022), DOSM, JPBD, Thevesh Teva Github, PSM, Florczyk A.J., Corbane C., Ehrlich D., Freire S., Kemper T., Maffenini L., Melchiorri M., Pesaresi M., Politis P., Schiavina, M., Sabo F., Zanchetta L., GHSL Data Package 2019, EUR 29788 EN, Publications Office of the European Union, Luxembourg, 2019, ISBN 978-92-76-13186-1, doi:10.2760/290498, JRC 117104, WorldPop (www.worldpop.org - School of Geography and Environmental Science, University of Southampton; Department of Geography and Geosciences, University of Louisville; Departement de Geographie, Universite de Namur) and Center for International Earth Science Information Network (CIESIN), Columbia University (2018). Global High Resolution Population Denominators Project - Funded by The Bill and Melinda Gates Foundation (OPP1134076). https://dx.doi.org/10.5258/SOTON/WP00675"
Disclaimers,All the percentages for electoral demographics are calculated by Tindak Malaysia.  Ethnic data is an estimate and may have an error range of 1 - 5%. Correction for Ethnicity was done 17th January 2023
Attribute,
,
Field Name,Field Description
UNIQUE CODE,Parliament Constituency Code
STATE,State Name
PARLIAMENTARY CODE,"Parliamentary Constituency Code (2018 - present at the Created Date). For Sabah, Parliamentary Code (2020 - present at the Created Date)"
PARLIAMENTARY NAME,"Parliamentary Constituency Name (2018 - present at the Created Date). For Sabah, Parliamentary Name (2020 - present at the Created Date)"
TOTAL ELECTORS,Total Elector count using the Principal Electoral Roll that was updated until August 2022 which was gazetted on 15/9/2022 (updated until 9th October 2022)
MALAY (%),Proportion of Malay Electors for the Parliament Constituency (%)
CHINESE (%),Proportion of Chinese Electors for the Parliament Constituency (%)
INDIANS (%),Proportion of Indians Electors for the Parliament Constituency (%)
ORANG ASLI (%),Proportion of Orang Asli Electors for the Parliament Constituency (%)
BUMIPUTERA SABAH (%),Proportion of Bumiputera Sabah Electors for the Parliament Constituency (%)
BUMIPUTERA SARAWAK (%),Proportion of Bumiputera Sarawak Electors for the Parliament Constituency (%)
OTHERS (%),Proportion of Others Electors for the Parliament Constituency (%)
ELECTORS - NORMAL VOTERS (%),Proportion of Electors - Normal Electors for the Parliament Constituency (%)
ELECTORS - ABSENT VOTERS (%),Proportion of Electors - Absent Electors for the Parliament Constituency (%)
ELECTORS - POLICE (%),Proportion of Electors - Police Electors for the Parliament Constituency (%)
ELECTORS - MILITARY (%),Proportion of Electors - Military Electors for the Parliament Constituency (%)
18-20 (%),Proportion of 18-20 Electors for the Parliament Constituency (%)
21-29 (%),Proportion of 21-29 Electors for the Parliament Constituency (%)
30-39 (%),Proportion of 30-39 Electors for the Parliament Constituency (%)
40-49 (%),Proportion of 40-49 Electors for the Parliament Constituency (%)
50-59 (%),Proportion of 50-59 Electors for the Parliament Constituency (%)
60-69 (%),Proportion of 60-69 Electors for the Parliament Constituency (%)
70-79 (%),Proportion of 70-79 Electors for the Parliament Constituency (%)
80-89 (%),Proportion of 80-89 Electors for the Parliament Constituency (%)
ABOVE 90 (%),Proportion of Above 90 Electors for the Parliament Constituency (%)
MALE ELECTORS (%),Proportion of Male Electors for the Parliament Constituency (%)
WOMEN ELECTORS (%),Proportion of Women Electors for the Parliament Constituency (%)
URBAN-RURAL CLASSIFICATION (2021),Parliament Constituency urbanization classification
