UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORATE,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,13403,9587,,,,,,,,,,,,,,,,PEJUANG,SHAHRIL (CAEN),MALE,,152,,,,,,,,,,,WARISAN,KHAW HOCK KONG,MALE,58,81,,,,,,,,,,,INDEPENDENT - BOOK,ZAHIDI BIN ZAINUL ABIDIN,MALE,61,425,,,,,,,,,,,,,,,,,,,
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,12128,8813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,SHAMIM NORDIN,MALE,27,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,14248,10928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,9662,7611,,,,,,PKR,AMRAN BIN KAMARUDIN,MALE,58,794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,10751,8426,,,,,,PAN,CIKGU MAZLINA,FEMALE,59,1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,16366,12721,,,,,,,,,,,,,,,,PEJUANG,SHAZWAN BIN SUBAN,MALE,,157,,,,,,,,,,,WARISAN,MOHAMAD KHAIR BIN MOHD NOOR,MALE,,57,,,,,,,,,,,INDEPENDENT - KEY,DATUK HASHIM SUBOH,MALE,63,157,,,,,,,,,,,,,,,,,,,
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,15870,11753,,,,,,,,,,,,,,,,PEJUANG,MOHD FAIZAL BIN YUNUS,MALE,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,14465,10405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,ATAN BIN JASIN,MALE,,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,14717,10670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,MUHAMAD HAIRI BIN NOORDIN,MALE,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,13441,10596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,KHAIRUDDIN BIN ABDULLAH,MALE,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.11,PERLIS,P.003,ARAU,N.11,PAUH,14797,11145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARISAN,MOHD KHALID AHMAD,MALE,68,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.12,PERLIS,P.003,ARAU,N.12,TAMBUN TULANG,13451,10163,,,,,,,,,,,,,,,,PEJUANG,MATON BIN DIN,MALE,66,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.13,PERLIS,P.003,ARAU,N.13,GUAR SANJI,11510,9053,,,,,,PKR,HASPARIZAL BIN HASSAN,MALE,43,601,,,,,,PEJUANG,ABDUL MALIK BIN ABDULLAH,MALE,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003_N.14,PERLIS,P.003,ARAU,N.14,SIMPANG EMPAT,10697,8115,,,,,,,,,,,,,,,,PEJUANG,IZHAR SUDIN,MALE,,73,,,,,,,,,,,WARISAN,DR. HAKIM SAAD,MALE,,35,,,,,,,,,,,INDEPENDENT - BOOK,AMMAR BIN HASSAN,MALE,59,128,,,,,,,,,,,,,,,,,,,
P.003_N.15,PERLIS,P.003,ARAU,N.15,SANGLANG,10421,8226,,,,,,PAN,DR. AHMAD FADHZIL MOHAMAD,MALE,37,931,,,,,,,,,,,,,,,,,,,,,WARISAN,ZAINUDIN BIN YOM,MALE,59,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.01,PERAK,P.054,GERIK,N.01,PENGKALAN HULU,20157,14945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054_N.02,PERAK,P.054,GERIK,N.02,TEMENGOR,27408,19637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.03,PERAK,P.055,LENGGONG,N.03,KENERING,21596,16310,,,,,,PKR,MOHAMAD JAMEAN,MALE,27,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055_N.04,PERAK,P.055,LENGGONG,N.04,KOTA TAMPAN,15354,11336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.05,PERAK,P.056,LARUT,N.05,SELAMA,22339,17762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,OSMAN BIN SIDEK,MALE,,61,,,,,,,,,,,,,,,,,,,
P.056_N.06,PERAK,P.056,LARUT,N.06,KUBU GAJAH,21358,16681,,,,,,PAN,RUSLI BAKAR,MALE,,1188,,,,,,PEJUANG,FUADDIN BIN KAMARUDDIN,MALE,70,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056_N.07,PERAK,P.056,LARUT,N.07,BATU KURAU,22022,17380,,,,,,,,,,,,,,,,PEJUANG,CIKGU ZULKIFLI,MALE,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.08,PERAK,P.057,PARIT BUNTAR,N.08,TITI SERONG,35900,28353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.057_N.09,PERAK,P.057,PARIT BUNTAR,N.09,KUALA KURAU,32602,24563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.10,PERAK,P.058,BAGAN SERAI,N.10,ALOR PONGSU,28656,22233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.11,PERAK,P.058,BAGAN SERAI,N.11,GUNONG SEMANGGOL,27396,21631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.058_N.12,PERAK,P.058,BAGAN SERAI,N.12,SELINSING,24241,18704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.13,PERAK,P.059,BUKIT GANTANG,N.13,KUALA SEPETANG,40222,30437,,,,,,,,,,,,,,,,PEJUANG,ZAZA,FEMALE,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.059_N.14,PERAK,P.059,BUKIT GANTANG,N.14,CHANGKAT JERING,37003,28148,,,,,,,,,,,,,,,,PEJUANG,MEJAR (B) NAZAR BIN TALIB,MALE,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
