UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,,,,
P.001_N.01,PERLIS,P.001,PADANG BESAR,N.01,TITI TINGGI,PN - PPBM,,13403,3785,72.73,9748,16,145,9587,MCA,TEH CHAI AAN,MALE,57,1816,DAP,TEH SENG CHUAN,MALE,39,1512,PPBM,IZIZAM BIN IBRAHIM (ADI),MALE,46,5601,PEJUANG,SHAHRIL (CAEN),MALE,,152,,,,,,,,,,,WARISAN,KHAW HOCK KONG,MALE,58,81,,,,,,,,,,,INDEPENDENT - BOOK,ZAHIDI BIN ZAINUL ABIDIN,MALE,61,425,,,,,,,,,,,,,,,,,,,
P.001_N.02,PERLIS,P.001,PADANG BESAR,N.02,BESERI,PN - PAS,,12128,1047,73.71,8939,18,108,8813,UMNO,RUZAINI BIN RAIS,MALE,50,2993,PAN,CIKGU MAT SAFAR,MALE,61,1684,PAS,HAZIQ ASYRAF DUN,MALE,31,4040,,,,,,,,,,,,,,,,WARISAN,SHAMIM NORDIN,MALE,27,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.03,PERLIS,P.001,PADANG BESAR,N.03,CHUPING,PN - PAS,,14248,2420,77.98,11111,13,170,10928,UMNO,ASMAIZA BINTI AHMAD,FEMALE,47,3453,PKR,NATTHAVUTH SENG,MALE,26,1602,PAS,HJ SAAD BIN SEMAN,MALE,63,5873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.04,PERLIS,P.001,PADANG BESAR,N.04,MATA AYER,PN - PAS,,9662,2021,80.21,7750,18,121,7611,UMNO,SITI BERENEE,FEMALE,55,2398,PKR,AMRAN BIN KAMARUDIN,MALE,58,794,PAS,WAN BADARIAH BINTI WAN SAAD,FEMALE,46,4419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.001_N.05,PERLIS,P.001,PADANG BESAR,N.05,SANTAN,PN - PAS,,10751,2108,79.16,8511,13,72,8426,UMNO,AZIZAN SULAIMAN,MALE,56,2644,PAN,CIKGU MAZLINA,FEMALE,59,1030,PAS,USTAZ AZMIR,MALE,42,4752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.06,PERLIS,P.002,KANGAR,N.06,BINTONG,PN - PAS,,16366,4329,78.98,12926,33,172,12721,UMNO,AZLAN MAN,MALE,64,2996,PAN,CIKGU AZHARI,MALE,58,2029,PAS,FAKHRUL ANWAR BIN ISMAIL,MALE,51,7325,PEJUANG,SHAZWAN BIN SUBAN,MALE,,157,,,,,,,,,,,WARISAN,MOHAMAD KHAIR BIN MOHD NOOR,MALE,,57,,,,,,,,,,,INDEPENDENT - KEY,DATUK HASHIM SUBOH,MALE,63,157,,,,,,,,,,,,,,,,,,,
P.002_N.07,PERLIS,P.002,KANGAR,N.07,SENA,PN - PPBM,,15870,2200,75.17,11929,21,155,11753,UMNO,SAIFUL DANIEL MOHD YUSOF,MALE,,2619,PKR,ASRUL NIZAN HJ ABD JALIL,MALE,45,3356,PPBM,MARZITA BINTI MANSOR,FEMALE,51,5556,PEJUANG,MOHD FAIZAL BIN YUNUS,MALE,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.08,PERLIS,P.002,KANGAR,N.08,INDERA KAYANGAN,PH - PKR,,14465,1873,72.93,10550,16,129,10405,MCA,LIM WENG KHEE,MALE,39,1882,PKR,GAN AY LING,FEMALE,46,4830,PPBM,PRAMOOT A/L PUAN,MALE,52,2957,,,,,,,,,,,,,,,,WARISAN,ATAN BIN JASIN,MALE,,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.002_N.09,PERLIS,P.002,KANGAR,N.09,KUALA PERLIS,PN - PPBM,,14717,154,73.66,10840,12,158,10670,UMNO,KAMARUDIN BIN MALEK,MALE,62,2145,PKR,AZAM KARAP,MALE,37,3053,PPBM,ABU BAKAR BIN HAMZAH,MALE,54,3207,,,,,,,,,,,,,,,,WARISAN,MUHAMAD HAIRI BIN NOORDIN,MALE,,68,,,,,,,,,,,INDEPENDENT - KEY,AZAHAR BIN AHMAD,MALE,,2197,,,,,,,,,,,,,,,,,,,
P.002_N.10,PERLIS,P.002,KANGAR,N.10,KAYANG,PN - PAS,,13441,3261,79.93,10744,22,126,10596,UMNO,HAMIZAN BIN HASSAN,MALE,47,2917,PAN,WAN KHARIZAL,MALE,60,1400,PAS,USTAZ ASRUL AIMRAN,MALE,39,6178,,,,,,,,,,,,,,,,WARISAN,KHAIRUDDIN BIN ABDULLAH,MALE,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
