UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE GENDER,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE GENDER,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE
P.001,PERLIS,P.001,PADANG BESAR,PN - PAS,,60192,12514,76.52,46059,78,693,45288,UMNO,ZAHIDA BINTI ZARIK KHAN,FEMALE,43,11753,PAN,KAPT (B) HJ MOHAMAD YAHAYA,MALE,,7085,PAS,RUSHDAN BIN RUSMI,MALE,44,24267,,,,,,,,,,,,,,,,WARISAN,KO CHU LIANG,MALE,,244,,,,,,,,,,,INDEPENDENT - BOOK,ZAHIDI BIN ZAINUL ABIDIN,MALE,61,1939,,,,,,,,,,,,,,,
P.002,PERLIS,P.002,KANGAR,PN - PPBM,,74859,9192,76.13,56989,108,681,56200,UMNO,DR FATHUL BARI,MALE,42,15370,PKR,AMIN AHMAD,MALE,40,15143,PPBM,CIKGU ZAKRI,MALE,,24562,PEJUANG,USTAZ NUR SULAIMAN,MALE,34,708,,,,,,,,,,,WARISAN,PROF. DR. ROHIMI SHAPIEE,MALE,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.003,PERLIS,P.003,ARAU,PN - DIRECT,,60876,23216,78.2,47605,89,727,46789,UMNO,ROZABIL @ TOK BEN,MALE,50,8242,PKR,FATHIN AMELINA,FEMALE,28,7089,PN - DIRECT,SHAHIDAN BIN KASSIM,MALE,71,31458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.004,KEDAH,P.004,LANGKAWI,PN - PPBM,,66777,13518,72.07,48123,135,508,47480,UMNO,DATO' ARMISHAH SIRAJ (DAS),MALE,58,11945,PAN,ZABIDI YAHYA,MALE,54,5417,PPBM,MOHD SUHAIMI BIN ABDULLAH,MALE,64,25463,PEJUANG,MAHATHIR BIN MOHAMAD,MALE,96,4566,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,DATO PADUKA ABD KADIR,MALE,,89,,,,,,,,,,,,,,,
P.005,KEDAH,P.005,JERLUN,PN - PAS,,67601,20456,78.27,52909,85,617,52207,UMNO,OTHMAN BIN AZIZ,MALE,63,11229,PKR,DR MOHAMED FADZIL MOHD ALI,MALE,48,6149,PAS,DR. ABD GHANI AHMAD,MALE,52,31685,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,3144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.006,KEDAH,P.006,KUBANG PASU,PN - PPBM,,108217,31584,78.07,84486,247,837,83402,UMNO,HASMUNI BIN HASSAN,MALE,,14489,PKR,AIZUDDIN ARIFFIN,MALE,35,16000,PPBM,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,MALE,70,47584,PEJUANG,AMIRUDDIN HAMZAH (TOK MET),MALE,60,5329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.007,KEDAH,P.007,PADANG TERAP,PN - PAS,,59806,10959,82.5,49341,80,632,48629,UMNO,MAHDZIR BIN KHALID,MALE,62,17258,PAN,MUAZ ABDULLAH,MALE,25,2702,PAS,USTAZ NURUL AMIN,MALE,39,28217,PEJUANG,RAZALI BIN LEBAI SALLEH,MALE,65,452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.008,KEDAH,P.008,POKOK SENA,PN - PAS,,114838,31751,77.48,88976,209,823,87944,UMNO,NORAN ZAMINI BIN JAMALUDDIN,MALE,48,14523,PAN,DATO' WIRA HJ MAHFUZ OMAR,MALE,65,20524,PAS,DATO' AHMAD YAHAYA,MALE,47,52275,,,,,,,,,,,,,,,,WARISAN,NORAINI BINTI MD SALLEH,FEMALE,60,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.009,KEDAH,P.009,ALOR SETAR,PN - PAS,,105994,9931,73.56,77969,209,774,76986,MCA,TAN CHEE HIONG,MALE,43,8930,PKR,SIMON OOI TZE MIN,MALE,38,27555,PAS,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,MALE,41,37486,PEJUANG,NUHAIRI RAHMAT,MALE,45,2383,,,,,,,,,,,WARISAN,FADZIL BIN HANAFI,MALE,64,366,,,,,,,,,,,INDEPENDENT - TREE,DATO' DR NORDIN YUNUS,MALE,69,115,INDEPENDENT - PEN,SOFAN FEROZA,MALE,,151,,,,,,,,,,
P.010,KEDAH,P.010,KUALA KEDAH,PN - PAS,,132500,28061,76.61,101510,224,811,100475,UMNO,DATO DR MASHITAH BINTI IBRAHIM,FEMALE,58,13879,PKR,DR AZMAN ISMAIL,MALE,61,28237,PAS,DR. AHMAD FAKHRUDDIN,MALE,51,56298,PEJUANG,ULYA HUSAMUDIN,MALE,31,1805,,,,,,,,,,,WARISAN,PAK TUAN AL IDRUS,MALE,48,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
